,GEOID,num_scouts,scouts_per_tract,female_cub_scouts,male_cub_scouts,female_troop_scouts,male_troop_scouts,female_cub_total,female_troop_total,male_cub_total,male_troop_total,fcubs_per_tract,mcubs_per_tract,ftroops_per_tract,mtroops_per_tract,female_scouts,female_per_tract,male_scouts,male_per_tract,cub_youth_total,troop_youth_total,total_pop,cub_scouts,troop_scouts,cub_per_tract,troop_per_tract,2022_youth_total,2022_scouts_per_tract,2023_difference_total,2023_difference_per_tract
17,36005004400,22,2.3404255319148937,13.0,9.0,0.0,0.0,284.0,163.0,216.0,277.0,4.577464788732395,4.166666666666666,0.0,0.0,13.0,2.9082774049217,9.0,1.8255578093306288,500.0,440.0,940,22.0,0.0,4.3999999999999995,0.0,0.0,0.0,22.0,2.3404255319148937
18,36005004600,2,0.47393364928909953,0.0,0.0,1.0,1.0,81.0,102.0,91.0,148.0,0.0,0.0,0.9803921568627451,0.6756756756756757,1.0,0.546448087431694,1.0,0.41841004184100417,172.0,250.0,422,0.0,2.0,0.0,0.8,0.0,0.0,2.0,0.47393364928909953
19,36005004800,2,0.23391812865497078,1.0,0.0,1.0,0.0,258.0,174.0,215.0,208.0,0.3875968992248062,0.0,0.5747126436781609,0.0,2.0,0.4629629629629629,0.0,0.0,473.0,382.0,855,1.0,1.0,0.21141649048625794,0.2617801047120419,0.0,0.0,2.0,0.23391812865497078
20,36005005001,2,0.19398642095053348,1.0,0.0,1.0,0.0,203.0,249.0,373.0,206.0,0.49261083743842365,0.0,0.4016064257028112,0.0,2.0,0.4424778761061947,0.0,0.0,576.0,455.0,1031,1.0,1.0,0.1736111111111111,0.21978021978021978,0.0,0.0,2.0,0.19398642095053348
21,36005005002,1,0.07262164124909223,0.0,0.0,0.0,1.0,391.0,424.0,314.0,248.0,0.0,0.0,0.0,0.4032258064516129,0.0,0.0,1.0,0.1779359430604982,705.0,672.0,1377,0.0,1.0,0.0,0.1488095238095238,0.0,0.0,1.0,0.07262164124909223
22,36005005100,2,0.12338062924120913,0.0,0.0,0.0,2.0,221.0,395.0,455.0,550.0,0.0,0.0,0.0,0.36363636363636365,0.0,0.0,2.0,0.1990049751243781,676.0,945.0,1621,0.0,2.0,0.0,0.21164021164021166,1.0,0.061690314620604564,1.0,0.061690314620604564
23,36005005200,3,0.7389162561576355,0.0,0.0,3.0,0.0,58.0,73.0,110.0,165.0,0.0,0.0,4.10958904109589,0.0,3.0,2.2900763358778624,0.0,0.0,168.0,238.0,406,0.0,3.0,0.0,1.2605042016806722,0.0,0.0,3.0,0.7389162561576355
24,36005005300,2,0.12239902080783352,0.0,0.0,1.0,1.0,467.0,380.0,412.0,375.0,0.0,0.0,0.2631578947368421,0.26666666666666666,1.0,0.11806375442739078,1.0,0.12706480304955528,879.0,755.0,1634,0.0,2.0,0.0,0.26490066225165565,0.0,0.0,2.0,0.12239902080783352
25,36005005400,6,0.8042895442359249,1.0,2.0,1.0,2.0,158.0,202.0,134.0,252.0,0.6329113924050633,1.4925373134328357,0.49504950495049505,0.7936507936507936,2.0,0.5555555555555556,4.0,1.0362694300518136,292.0,454.0,746,3.0,3.0,1.0273972602739725,0.6607929515418502,0.0,0.0,6.0,0.8042895442359249
26,36005005600,1,0.36101083032490977,0.0,0.0,1.0,0.0,68.0,85.0,68.0,56.0,0.0,0.0,1.1764705882352942,0.0,1.0,0.6535947712418301,0.0,0.0,136.0,141.0,277,0.0,1.0,0.0,0.7092198581560284,0.0,0.0,1.0,0.36101083032490977
27,36005005902,2,0.4098360655737705,0.0,0.0,0.0,2.0,78.0,69.0,181.0,160.0,0.0,0.0,0.0,1.25,0.0,0.0,2.0,0.5865102639296188,259.0,229.0,488,0.0,2.0,0.0,0.8733624454148471,2.0,0.4098360655737705,0.0,0.0
28,36005006000,2,0.9174311926605505,0.0,0.0,2.0,0.0,22.0,63.0,58.0,75.0,0.0,0.0,3.1746031746031744,0.0,2.0,2.3529411764705883,0.0,0.0,80.0,138.0,218,0.0,2.0,0.0,1.4492753623188406,0.0,0.0,2.0,0.9174311926605505
29,36005006100,1,0.6493506493506493,0.0,0.0,0.0,1.0,46.0,58.0,7.0,43.0,0.0,0.0,0.0,2.3255813953488373,0.0,0.0,1.0,2.0,53.0,101.0,154,0.0,1.0,0.0,0.9900990099009901,0.0,0.0,1.0,0.6493506493506493
30,36005006200,1,0.06246096189881324,0.0,0.0,1.0,0.0,572.0,403.0,373.0,253.0,0.0,0.0,0.24813895781637718,0.0,1.0,0.10256410256410256,0.0,0.0,945.0,656.0,1601,0.0,1.0,0.0,0.1524390243902439,0.0,0.0,1.0,0.06246096189881324
31,36005006301,13,1.7173051519154559,0.0,2.0,6.0,5.0,145.0,243.0,145.0,224.0,0.0,1.3793103448275863,2.4691358024691357,2.232142857142857,6.0,1.5463917525773196,7.0,1.8970189701897018,290.0,467.0,757,2.0,11.0,0.6896551724137931,2.355460385438972,1.0,0.13210039630118892,12.0,1.585204755614267
32,36005006400,29,3.741935483870968,14.0,15.0,0.0,0.0,168.0,158.0,214.0,235.0,8.333333333333332,7.009345794392523,0.0,0.0,14.0,4.294478527607362,15.0,3.34075723830735,382.0,393.0,775,29.0,0.0,7.591623036649215,0.0,0.0,0.0,29.0,3.741935483870968
